"employee_id","ride_creation","passenger_creation"
"62824d96e2af763a1c0de1d2",2024-01-17 09:26:21.367 +0100,
"62824d96e2af763a1c0de1d2",2024-01-22 10:02:29.917 +0100,
"62824d96e2af763a1c0de1d2",2024-01-22 10:03:11.624 +0100,
"62824d96e2af763a1c0de1d2",2024-01-22 10:04:08.258 +0100,
"62824d96e2af763a1c0de1d2",2024-01-29 08:59:29.432 +0100,
"62824d96e2af763a1c0de1d2",2024-01-29 09:00:36.186 +0100,
"62824d96e2af763a1c0de1d2",2024-01-29 08:59:03.495 +0100,
"62824d96e2af763a1c0de1d2",2024-01-29 09:00:08.377 +0100,
"62824d96e2af763a1c0de1d2",2024-02-13 21:25:27.197 +0100,
"62824d96e2af763a1c0de1d2",2024-02-13 21:26:17.412 +0100,
"62824d96e2af763a1c0de1d2",2024-01-22 10:04:29.639 +0100,
"62824d96e2af763a1c0de1d2",2024-03-04 15:09:15.853 +0100,
"62824d96e2af763a1c0de1d2",2024-03-12 10:29:46.403 +0100,
"62824d96e2af763a1c0de1d2",2024-03-04 15:09:35.550 +0100,
"62824d96e2af763a1c0de1d2",2024-04-17 07:43:17.670 +0200,
"62824d96e2af763a1c0de1d2",2024-04-22 19:52:47.790 +0200,
"62824d96e2af763a1c0de1d2",2024-04-22 19:53:20.239 +0200,
"61f80a8147345d7d405ecef9",2024-02-26 18:13:31.646 +0100,
"61f80a8147345d7d405ecef9",2024-02-26 18:14:32.155 +0100,
"61f80a8147345d7d405ecef9",2024-02-26 18:16:54.745 +0100,
"61dd9fc847345d78825e5bb5",2023-11-27 20:27:27.733 +0100,
"61dd9fc847345d78825e5bb5",2024-03-17 19:55:27.091 +0100,
"624d58b6e2af76d04e079645",2024-03-21 12:42:13.131 +0100,
"62711ba7e2af7653ad0bcacd",2023-10-03 00:30:22.304 +0200,
"64a3e85675ee31163f057a27",2024-07-01 12:55:24.115 +0200,
"64a3e85675ee31163f057a27",2024-06-27 12:44:52.207 +0200,
"61dbf5b447345d03915e5100",2024-04-30 15:10:34.313 +0200,
"659eab0407d5bd22129f29d6",2024-01-11 18:01:51.753 +0100,
"659eab0407d5bd22129f29d6",2024-01-11 19:04:09.676 +0100,
"659eab0407d5bd22129f29d6",2024-01-12 16:55:45.407 +0100,
"659e75626de16c996a1f7742",2024-01-10 18:28:48.109 +0100,
"659e75626de16c996a1f7742",2024-01-11 19:19:38.738 +0100,
"659e75626de16c996a1f7742",2024-01-11 17:30:02.425 +0100,
"659e75626de16c996a1f7742",2024-01-12 08:10:16.743 +0100,
"659e75626de16c996a1f7742",2024-01-12 07:52:36.580 +0100,
"659e75626de16c996a1f7742",2024-01-15 18:21:04.142 +0100,
"659e75626de16c996a1f7742",2024-01-16 18:34:06.475 +0100,
"659e75626de16c996a1f7742",2024-01-23 07:54:03.543 +0100,
"659e75626de16c996a1f7742",2024-01-16 07:58:35.046 +0100,
"659e75626de16c996a1f7742",2024-01-10 19:13:53.235 +0100,
"659e75626de16c996a1f7742",2024-01-18 07:56:20.690 +0100,
"659e75626de16c996a1f7742",2024-01-19 07:56:46.072 +0100,
"62bec81dabd5fc8c1288b93d",2024-03-21 13:53:30.109 +0100,
"62bec81dabd5fc8c1288b93d",2024-05-27 08:01:21.462 +0200,
"62bec81dabd5fc8c1288b93d",2024-04-08 13:51:51.066 +0200,
"62bec81dabd5fc8c1288b93d",2024-05-16 09:35:41.330 +0200,
"62bec81dabd5fc8c1288b93d",2024-05-30 15:04:55.654 +0200,
"62bec81dabd5fc8c1288b93d",2024-06-20 11:35:18.130 +0200,
"62bec81dabd5fc8c1288b93d",2024-06-20 11:36:48.586 +0200,
"62bec81dabd5fc8c1288b93d",2024-06-28 09:18:18.022 +0200,
"62bec81dabd5fc8c1288b93d",2024-06-28 09:05:45.567 +0200,
"62bec81dabd5fc8c1288b93d",2024-07-02 14:37:48.182 +0200,
"629e2440472561a446e746e7",2024-05-14 14:25:35.691 +0200,
"629e2440472561a446e746e7",2024-05-16 18:42:01.092 +0200,
"629e2440472561a446e746e7",2024-05-27 10:02:18.573 +0200,
"629e2440472561a446e746e7",2024-05-28 19:27:13.876 +0200,
"629e2440472561a446e746e7",2024-06-11 15:03:59.842 +0200,
"62c6deedabd5fc7a35898e89",2024-05-10 10:32:33.826 +0200,
"62c6deedabd5fc7a35898e89",2024-04-22 11:14:02.352 +0200,
"62c6deedabd5fc7a35898e89",2024-04-22 11:14:54.645 +0200,
"62c6deedabd5fc7a35898e89",2024-04-22 11:28:15.982 +0200,
"62c6deedabd5fc7a35898e89",2024-05-10 10:33:09.107 +0200,
"62c6deedabd5fc7a35898e89",2024-05-10 10:33:29.687 +0200,
"62c6deedabd5fc7a35898e89",2024-05-10 10:34:07.883 +0200,
"62c6deedabd5fc7a35898e89",2024-04-15 18:19:59.461 +0200,
"62c6deedabd5fc7a35898e89",2024-04-15 18:18:26.941 +0200,
"62c6deedabd5fc7a35898e89",2024-04-15 18:28:15.599 +0200,
"62c6deedabd5fc7a35898e89",2024-04-15 18:47:37.185 +0200,
"62c6deedabd5fc7a35898e89",2024-04-17 13:17:43.841 +0200,
"62c6deedabd5fc7a35898e89",2024-04-22 11:08:11.286 +0200,
"62c6deedabd5fc7a35898e89",2024-04-22 11:12:56.098 +0200,
"62c6deedabd5fc7a35898e89",2024-04-22 11:08:47.428 +0200,
"62c6deedabd5fc7a35898e89",2024-04-22 11:12:35.387 +0200,
"62c6deedabd5fc7a35898e89",2024-04-22 11:10:34.475 +0200,
"62c6deedabd5fc7a35898e89",2024-05-20 09:33:56.416 +0200,
"62c6deedabd5fc7a35898e89",2024-04-22 11:13:16.955 +0200,
"62c6deedabd5fc7a35898e89",2024-05-20 09:51:10.020 +0200,
"62c6deedabd5fc7a35898e89",2024-05-20 09:51:26.798 +0200,
"62c6deedabd5fc7a35898e89",2024-04-22 11:14:37.250 +0200,
"62c6deedabd5fc7a35898e89",2024-04-22 11:10:19.022 +0200,
"62c6deedabd5fc7a35898e89",2024-04-22 11:12:15.031 +0200,
"62c6deedabd5fc7a35898e89",2024-04-22 11:13:45.116 +0200,
"62c6deedabd5fc7a35898e89",2024-05-10 10:31:44.482 +0200,
"62c6deedabd5fc7a35898e89",2024-05-20 09:33:27.267 +0200,
"62c6deedabd5fc7a35898e89",2024-04-22 11:27:51.632 +0200,
"62c6deedabd5fc7a35898e89",2024-05-20 09:50:50.695 +0200,
"62c6deedabd5fc7a35898e89",2024-05-10 10:33:47.917 +0200,
"62c6deedabd5fc7a35898e89",2024-05-20 09:51:44.163 +0200,
"62c6deedabd5fc7a35898e89",2024-06-26 08:36:36.206 +0200,
"62c6deedabd5fc7a35898e89",2024-06-26 08:31:33.566 +0200,
"62c6deedabd5fc7a35898e89",2024-06-26 08:31:11.352 +0200,
"62c6deedabd5fc7a35898e89",2024-06-26 08:33:42.980 +0200,
"62c6deedabd5fc7a35898e89",2024-06-26 08:36:58.652 +0200,
"62c6deedabd5fc7a35898e89",2024-06-26 08:34:45.811 +0200,
"62c6deedabd5fc7a35898e89",2024-06-26 08:35:05.269 +0200,
"62c6deedabd5fc7a35898e89",2024-06-26 08:32:55.712 +0200,
"62c6deedabd5fc7a35898e89",2024-06-28 11:22:12.548 +0200,
"62c6deedabd5fc7a35898e89",2024-06-28 11:22:38.951 +0200,
"62bef39d472561a172e9ae9c",2024-05-08 12:16:09.494 +0200,
"62bef39d472561a172e9ae9c",2024-05-20 08:55:02.190 +0200,
"62bef39d472561a172e9ae9c",2024-05-21 15:13:19.767 +0200,
"62bef39d472561a172e9ae9c",2024-05-23 18:54:24.389 +0200,
"62bef39d472561a172e9ae9c",2024-05-31 11:28:43.988 +0200,
"62bef39d472561a172e9ae9c",2024-06-03 19:04:40.336 +0200,
"6270dd10e2af7650380bb86c",2024-04-15 14:55:53.083 +0200,
"6270dd10e2af7650380bb86c",2024-04-15 14:56:52.247 +0200,
"6270dd10e2af7650380bb86c",2024-04-15 14:56:29.048 +0200,
"61f8f8aa47345d75b95ed422",2024-07-01 10:04:33.795 +0200,
"61fcf05247345de36c5ee527",2024-05-25 15:59:02.310 +0200,
"61fcf05247345de36c5ee527",2024-05-30 18:31:43.552 +0200,
"61fcf05247345de36c5ee527",2024-06-03 08:40:14.141 +0200,
"61fcf05247345de36c5ee527",2024-06-13 18:06:37.572 +0200,
"61fcf05247345de36c5ee527",2024-06-17 09:46:51.346 +0200,
"61fcf05247345de36c5ee527",2024-06-17 19:37:01.954 +0200,
"61fcf05247345de36c5ee527",2024-06-26 18:55:04.053 +0200,
"61fcf05247345de36c5ee527",2024-07-01 18:02:27.535 +0200,
"62c2da7c47256122baea074f",2024-06-06 08:10:44.606 +0200,
"62c2da7c47256122baea074f",2024-06-20 15:09:57.112 +0200,
"62c2da7c47256122baea074f",2024-06-24 16:53:49.084 +0200,
"62c2da7c47256122baea074f",2024-07-04 16:20:23.739 +0200,
"627292f0e2af7651740c0306",2024-05-22 15:36:08.373 +0200,
"627ccccbe2af760e680d9546",2024-06-09 09:35:08.750 +0200,
"626953bfe2af76d15c0abd62",2024-07-01 13:47:16.082 +0200,
