employee,2023_office_location_type,2024_office_location_type,2023_home_location_type,2024_home_location_type,2023_mode,2024_mode,,,office urban changed?,home urban changed?,Mode Changed?,,,,employee,2023_office_location_type,2023_home_location_type,2023_mode,2024_mode,mode_shift
739469620,urban,urban,urban,urban,car,motorcycle,,,no,no,yes,,,,739469620,urban,urban,car,motorcycle,car ? motorcycle
749251087,urban,urban,urban,urban,spostamento multimodale,public_transport,,,no,no,yes,,,,749251087,urban,urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
750199959,urban,urban,urban,urban,car,public_transport,,,no,no,yes,,,,750199959,urban,urban,car,public_transport,car ? public_transport
769217033,urban,urban,urban,urban,car,spostamento multimodale,,,no,no,yes,,,,769217033,urban,urban,car,spostamento multimodale,car ? spostamento multimodale
772410804,urban,urban,urban,urban,public_transport,carpooling_passenger,,,no,no,yes,,,,772410804,urban,urban,public_transport,carpooling_passenger,public_transport ? carpooling_passenger
781839484,urban,urban,urban,urban,spostamento multimodale,public_transport,,,no,no,yes,,,,781839484,urban,urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
783259863,urban,urban,urban,urban,motorcycle,car,,,no,no,yes,,,,783259863,urban,urban,motorcycle,car,motorcycle ? car
798794081,urban,urban,urban,urban,spostamento multimodale,motorcycle,,,no,no,yes,,,,798794081,urban,urban,spostamento multimodale,motorcycle,spostamento multimodale ? motorcycle
810999891,urban,urban,urban,urban,motorcycle,public_transport,,,no,no,yes,,,,810999891,urban,urban,motorcycle,public_transport,motorcycle ? public_transport
813138903,urban,urban,peri_urban,peri_urban,spostamento multimodale,public_transport,,,no,no,yes,,,,813138903,urban,peri_urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
818731888,urban,urban,urban,urban,public_transport,carpooling_passenger,,,no,no,yes,,,,818731888,urban,urban,public_transport,carpooling_passenger,public_transport ? carpooling_passenger
822535776,urban,urban,urban,urban,car,motorcycle,,,no,no,yes,,,,822535776,urban,urban,car,motorcycle,car ? motorcycle
825769103,urban,urban,peri_urban,peri_urban,car,carpooling_driver,,,no,no,yes,,,,825769103,urban,peri_urban,car,carpooling_driver,car ? carpooling_driver
833793687,urban,urban,peri_urban,peri_urban,motorcycle,car,,,no,no,yes,,,,833793687,urban,peri_urban,motorcycle,car,motorcycle ? car
846908704,urban,urban,non_urban,non_urban,car,motorcycle,,,no,no,yes,,,,846908704,urban,non_urban,car,motorcycle,car ? motorcycle
859649677,urban,urban,urban,urban,car,public_transport,,,no,no,yes,,,,859649677,urban,urban,car,public_transport,car ? public_transport
862752388,urban,urban,urban,urban,public_transport,walking,,,no,no,yes,,,,862752388,urban,urban,public_transport,walking,public_transport ? walking
880379934,urban,urban,urban,urban,spostamento multimodale,public_transport,,,no,no,yes,,,,880379934,urban,urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
882699999,urban,urban,urban,urban,spostamento multimodale,car,,,no,no,yes,,,,882699999,urban,urban,spostamento multimodale,car,spostamento multimodale ? car
891987425,urban,urban,urban,urban,bike,walking,,,no,no,yes,,,,891987425,urban,urban,bike,walking,bike ? walking
914805293,urban,urban,peri_urban,peri_urban,public_transport,spostamento multimodale,,,no,no,yes,,,,914805293,urban,peri_urban,public_transport,spostamento multimodale,public_transport ? spostamento multimodale
929244838,urban,urban,urban,urban,car,carpooling_driver,,,no,no,yes,,,,929244838,urban,urban,car,carpooling_driver,car ? carpooling_driver
965912559,urban,urban,urban,urban,car,public_transport,,,no,no,yes,,,,965912559,urban,urban,car,public_transport,car ? public_transport
1007429245,urban,urban,peri_urban,peri_urban,spostamento multimodale,public_transport,,,no,no,yes,,,,1007429245,urban,peri_urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
1010073813,urban,urban,urban,urban,public_transport,car,,,no,no,yes,,,,1010073813,urban,urban,public_transport,car,public_transport ? car
1015726503,urban,urban,urban,urban,public_transport,car,,,no,no,yes,,,,1015726503,urban,urban,public_transport,car,public_transport ? car
1030246357,urban,urban,urban,urban,car,walking,,,no,no,yes,,,,1030246357,urban,urban,car,walking,car ? walking
1045109662,urban,urban,urban,urban,public_transport,car,,,no,no,yes,,,,1045109662,urban,urban,public_transport,car,public_transport ? car
1063863710,urban,urban,urban,urban,carpooling_driver,car,,,no,no,yes,,,,1063863710,urban,urban,carpooling_driver,car,carpooling_driver ? car
1073554909,urban,urban,urban,urban,walking,car,,,no,no,yes,,,,1073554909,urban,urban,walking,car,walking ? car
1080725409,urban,urban,non_urban,non_urban,public_transport,car,,,no,no,yes,,,,1080725409,urban,non_urban,public_transport,car,public_transport ? car
1085673135,urban,urban,urban,urban,public_transport,car,,,no,no,yes,,,,1085673135,urban,urban,public_transport,car,public_transport ? car
1108492538,urban,urban,urban,urban,bike,walking,,,no,no,yes,,,,1108492538,urban,urban,bike,walking,bike ? walking
1109655450,urban,urban,urban,urban,car,public_transport,,,no,no,yes,,,,1109655450,urban,urban,car,public_transport,car ? public_transport
1122559368,urban,urban,urban,urban,public_transport,walking,,,no,no,yes,,,,1122559368,urban,urban,public_transport,walking,public_transport ? walking
1126036078,urban,urban,peri_urban,peri_urban,car,carpooling_passenger,,,no,no,yes,,,,1126036078,urban,peri_urban,car,carpooling_passenger,car ? carpooling_passenger
1141568321,urban,urban,urban,urban,car,public_transport,,,no,no,yes,,,,1141568321,urban,urban,car,public_transport,car ? public_transport
1151262352,urban,urban,urban,urban,spostamento multimodale,public_transport,,,no,no,yes,,,,1151262352,urban,urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
