"textid","description"
defval_3074034088,mezz?ora
defval_3283815003,un?ora
defval_2726758666,due ore o più
defval_3093629471,no
defval_2790918530,"autobus urbano, filobus"
defval_3055487501,"corriera, autobus extra-urbano"
defval_3040020974,non utilizzo i mezzi pubblici
defval_2828929385,rispetto dell?ambiente
defval_2739210434,da 60 a 80 euro
defval_2958297453,da 300 m a 500 m
defval_2594376001,adeguatezza degli orari
defval_2893875487,svolgo attività richiedenti l?utilizzo di un mezzo privato
defval_2836793678,auto privata come passeggero insieme a dei colleghi
defval_2963736991,"motocicletta, ciclomotore, scooter"
defval_2666203340,servizio pubblico non efficiente
defval_2948139350,attività extralavorative
defval_2774272332,"no, vado in moto/motociclo"
defval_2600536175,da 500 m a 1 km
defval_3136424331,da 1 km a 2 km
defval_3042904365,euro 6
defval_2848065862,vado alla mensa aziendale
defval_2785020251,"sì, per accompagnare i figli a scuola o altri familiari"
defval_3317303853,"sì, per attività ricreative"
defval_2909079891,"sì, per altri motivi"
defval_2927364508,da 100 m a 200 m
defval_2875066762,da 200 m a 300 m
defval_2966554960,più di 5 km
defval_2825390466,"informazione (orari, linee, etc)"
defval_2522220626,non sono a conoscenza di questo servizio
defval_2836138264,"sì, utilizzando il trasporto pubblico"
defval_2612070521,mancanza di percorsi ciclabili
defval_3090090440,niente
defval_2932738373,tra 350 euro e 450 euro
defval_3128297891,in auto come conducente
defval_2893416819,"no, vado con la navetta aziendale"
defval_2814576879,"no, vado in automobile"
defval_3048212905,"no, vado in automobile con dei colleghi come conducente"
defval_3134327306,"no, vado in automobile con dei colleghi come passeggero"
defval_2777221317,da 20 a 40 euro
defval_2992703867,puntualità
defval_3202025910,auto
defval_2639268059,motociclo a benzina
defval_3130067429,motociclo elettrico
defval_2791311646,bicicletta tradizionale
defval_2914519442,bicicletta elettrica
defval_3082815858,auto a benzina
defval_2618099994,Preferisco non rispondere
defval_2776303878,"sì, se fossero disponibili spogliatoi e docce"
defval_3065383402,no
defval_2976975249,Quadro/dirigente
defval_2705000633,full time 6 giorni a settimana
defval_3106605650,turni
defval_2832468313,auto privata come conducente insieme a dei colleghi
defval_2975140229,"sì, utilizzerei il trasporto pubblico al posto del mezzo privato se fossero facilmente disponibili i dispositivi di protezione, se fossero prenotabili le corse e correttamente sanificati"
defval_2972125580,meno di 20 anni
defval_2859141397,"sì, se ci fossero strade protette sicure"
defval_3051489796,apprendista/in formazione
defval_2908227873,più di 2
defval_3051030987,tariffe
defval_2700675288,adeguatezza del percorso
defval_2957052345,più di 60 euro
defval_2711095459,"sì, se durante le ore di lavoro potessi usufruire di mezzi aziendali per eventuali spostamenti"
defval_2941585739,"sì, se dovessi pagare la sosta della mia auto"
defval_2798454969,"sì, se ci fossero piste ciclabili migliori e più sicure"
defval_3101428343,euro 0
defval_2993293744,euro 1
defval_2888894840,euro 2
defval_2719418559,euro 5
defval_2557806637,parcheggio multipiano societario
defval_3150514705,parcheggio esterno alla sede gratuito
defval_2799700347,"sì, in presenza di mezzi aziendali di collegamento con le principali fermate del trasporto pubblico"
defval_2957969762,più di 60 anni
defval_2791901491,non sono disposto ad utilizzare servizi di sharing mobility 
defval_2909800812,fra 41 e 50 anni
defval_3187673613,"sì, se i marciapiedi e i percorsi pedonali fossero più curati"
defval_2878671215,sulla strada
defval_3192392204,"sì, se ci fosse maggiore affidabilità del trasporto pubblico (es. rispetto degli orari e delle corse)"
defval_2848328088,donna
defval_2907900355,Impiegato
defval_2972911896,assunto a tempo determinato
defval_3077769719,stagista
defval_2858813763,part time verticale
defval_2833844561,orario libero
defval_3072854583,auto elettrica
defval_2779056379,auto diesel
defval_2724399434,auto gpl
defval_2807105768,auto a metano
defval_3157527034,euro 4
defval_2864122205,fra 51 e 60 anni
defval_2978679162,"sì, se l'azienda mi fornisse un incentivo per l'acquisto"
defval_2795637140,auto elettriche
defval_2753628402,auto ibrida
defval_2835482809,euro 3
defval_3185379881,parcheggio esterno alla sede a pagamento
defval_2903706096,"sì, se il tempo di spostamento non fosse superiore di 5 o 10 minuti rispetto a quello attuale"
defval_2826504441,fra 31 e 40 anni
defval_2623277236,"sì, se le strade fossero maggiormente illuminate"
defval_3020818996,"sì, se fossero disponibili spogliatoi e docce"
defval_3001027019,"sì, se durante le ore di lavoro potessi usufruire di mezzi aziendali per eventuali spostamenti"
defval_3118664114,part time orizzontale
defval_3062762037,due ore o più
defval_2650605793,bici
defval_2703231162,"motocicletta, ciclomotore, scooter"
defval_3089828316,combinazione di mezzi pubblici e privati
defval_2761754785,treno
defval_3046771307,metropolitana
defval_2860845450,"sì, in presenza di parcheggi di scambio lungo il percorso"
defval_2741111079,"sì, se le fermate del trasporto pubblico fossero più vicine alla sede di lavoro"
defval_2902395259,"sì, se fossero disponibili spazi di sosta riservati agli equipaggi car pooling"
defval_2836072803,fra 21 e 30 anni
defval_2806188387,"sì, se l?azienda mi fornisse un incentivo all'acquisto della bicicletta elettrica"
defval_2666334404,no
defval_2958559516,uno o più mezzi pubblici
defval_3527150244,uomo
defval_2869627311,"sì, in presenza di un sistema che mi mettesse in contatto con chi fa il mio stesso percorso nelle stesse ore"
defval_2950498696,full time 5 giorni a settimana
defval_3035826789,telelavoro
defval_2598635611,"sì, utilizzerei la biciletta o il monopattino al posto del mezzo privato"
defval_2966555038,accompagnamento di persone
defval_3193309659,autonomia di movimento
defval_2932607340,mancanza di alternative valide
defval_2763458890,nessuno dei precedenti
defval_2850752888,più di 100 euro
defval_2977106244,assunto a tempo indeterminato
defval_2828208356,bicicletta/monopattino
defval_3010202003,da 40 a 60 euro
defval_2950498650,da 60 a 80 euro
defval_2849180027,da 1 km a 2 km
defval_2592016569,da 2 km a 5 km
defval_2582317239,mezz?ora
defval_2858355026,auto privata
defval_2848459092,a piedi
defval_3226077658,"sì, utilizzerei un servizio di sharing mobility al posto del mezzo privato"
defval_3158641336,comfort
defval_3113159192,da 200 m a 300 m
defval_3165915703,auto tradizionali
defval_3027110379,rigido
defval_2801666374,auto privata come passeggero insieme a dei colleghi
defval_2978679313,"autobus urbano, filobus"
defval_2786068749,"corriera, autobus extra-urbano"
defval_2956855674,economicità
defval_3072854356,"sì, se l?azienda mi fornisse la bicicletta elettrica"
defval_3017017788,no
defval_2980121013,"no, mi sento sicuro solo con il mezzo privato"
defval_3105753519,tra 250 euro e 350 euro
defval_3086223877,in auto come passeggero
defval_2656503936,"1"
defval_3089304047,puntualità
defval_2973239766,"informazione (orari, percorsi, etc)"
defval_3078228286,auto
defval_2720729224,motociclo a benzina
defval_3320121993,un?ora
defval_3200584349,piedi
defval_3089107464,non posseggo un?automobile
defval_2989427222,difficoltà del parcheggio
defval_2893678884,sicurezza
defval_2916354484,alternativa meno stressante
defval_2799307020,salute
defval_2745764199,tempo di viaggio
defval_3045132769,rispetto dell?ambiente
defval_2726889722,mancanza di percorsi ciclabili
defval_3141601888,in bicicletta
defval_2787838343,non sono disposto ad utilizzare un'app di gamification
defval_2925922649,tram
defval_3003582829,attività extralavorative
defval_2950039966,da 20 a 40 euro
defval_2860321090,da 80 a 100 euro
defval_2530871400,tra 50 euro e 150 euro
defval_2981169569,tra 150 euro e 250 euro
defval_2828601774,in motociclo
defval_2744780987,in auto come conducente
defval_2810972450,"informazione (orari, linee, etc)"
defval_3182955031,auto diesel
defval_2826504453,euro 2
defval_2862352721,servizio pubblico non efficiente
defval_3277261412,abbonamento trasporto pubblico locale
defval_2797603118,abbonamento bike sharing
defval_2851408252,abbonamento car sharing
defval_3064859062,abbonamento scooter sharing
defval_2551253020,abbonamento monopattino sharing
defval_3162638812,abbonamento parcheggio
defval_2922187183,meno di 20 euro
defval_2963474822,tra 350 euro e 450 euro
defval_2839742671,meno di 100 m
defval_3087993349,da 100 m a 200 m
defval_2936408430,"0"
defval_2911242588,adeguatezza degli orari
defval_2988050804,euro 3
defval_2926446992,Meno di 250 cm^3
defval_3163818511,Da 250 cm^3 a 750 cm^3
defval_2755856599,Più di 750 cm^3
defval_2834368824,più di 60 euro
defval_2848983270,auto privata
defval_2689009888,auto privata/auto aziendale
defval_2963474807,"motocicletta, ciclomotore, scooter"
defval_3009415551,bicicletta/monopattino
defval_2802911506,niente
defval_3145206188,più di 450 euro
defval_3179547123,da 300 m a 500 m
defval_2597652775,da 500 m a 1 km
defval_3390245560,tariffe
defval_2802518293,non so
defval_2980710869,"2"
defval_2731018453,più di 2
defval_3407415965,"sì, se le fermate del trasporto pubblico fossero più vicine alla sede di lavoro"
defval_3189901968,"sì, se ci fosse maggiore affidabilità del trasporto pubblico (es. rispetto degli orari e delle corse)"
defval_3149597188,sì
defval_2903378201,no
defval_2964130220,non sono a conoscenza di questo servizio
defval_2934245735,euro 6
defval_2750744757,"sì, se fosse fornito l?abbonamento dall?azienda"
defval_3332835909,"sì, se ci fossero piste ciclabili migliori e più sicure"
defval_2776369429,piedi
defval_3139176967,vicinanza alle fermate
defval_2745633021,adeguatezza del percorso
defval_2789017926,auto gpl
defval_2798455028,auto a metano
defval_2987067922,auto ibrida
defval_2676689178,parcheggio esterno alla sede a pagamento
defval_2910193945,"sì, se i marciapiedi e i percorsi pedonali fossero più curati"
defval_2489387101,più di 5 km
defval_2406942724,sulla strada
defval_2831157658,non so
defval_2739210426,"sì, in presenza di parcheggi di scambio lungo il percorso"
defval_2752121060,"sì, in presenza di mezzi aziendali di collegamento con le principali fermate del trasporto pubblico"
defval_2779187394,"Piccola (<1,4 litri. Se Diesel < 1700 cc)"
defval_2798127412,"Medium (da 1,4 a 2,0 litri. Se Diesel 1700 - 2000 cc) "
defval_3048540637,"Large, SUV o Executive (>2,0 litri / > 2000 cc )  "
defval_2851670267,non so
defval_2885617904,parcheggio multipiano o custodito in convenzione
defval_3127052870,non so
defval_3331459721,"sì, se fossero disponibili spogliatoi e docce"
defval_3068922281,"sì, se le strade fossero maggiormente illuminate"
defval_2926578048,euro 0
defval_3038841376,euro 1
defval_2844068222,parcheggio esterno alla sede gratuito
defval_2897217848,motociclo elettrico
defval_3088255447,bicicletta tradizionale
defval_2972780868,bicicletta elettrica
defval_2713651367,nessuno
defval_2517829765,auto elettrica
defval_2735147210,auto a benzina
defval_2759919904,euro 4
defval_2983856563,euro 5
defval_2976254296,bike sharing
defval_2804222319,monopattino sharing
defval_3213953627,non sono disposto ad utilizzare un'app di gamification
defval_2573732021,"sì, in presenza di un sistema che mi mettesse in contatto con chi fa il mio stesso percorso nelle stesse ore"
defval_2771650898,"sì, se dovessi pagare la sosta della mia auto"
defval_3017410936,"sì, se fossero disponibili spazi di sosta riservati agli equipaggi car pooling"
defval_3033270717,"sì, se il tempo di spostamento non fosse superiore di 5 o 10 minuti rispetto a quello attuale"
defval_2521630796,"sì, se fossero erogati dei buoni carburante dall?azienda agli equipaggi di car pooling"
defval_2844330341,car sharing
defval_3099658712,"no, mai"
defval_2701330697,"sì, se fossero costantemente igienizzati e forniti di disinfettante"
defval_2647918869,"sì, se potessi usufruire di scontistiche"
defval_2771912981,"sì, se potessi prenotare il mezzo in anticipo"
defval_2860058975,scooter sharing
defval_2643069065,bici
defval_2645362900,trasporto pubblico locale
defval_2883389829,"sì, se potessi rateizzare il costo in busta paga"
defval_2880899306,resto in ufficio (area ristoro)
defval_104595985,Preferisco non dichiarare
defval_3035695476,uomo
defval_2777221411,uno o più mezzi pubblici
defval_2745764025,combinazione di mezzi pubblici e privati
defval_2765031720,autonomia di movimento
defval_2807499074,nessuno dei precedenti
defval_3098610169,da 80 a 100 euro
defval_2854619479,Dichiaro di aver letto l?informativa sulla privacy e acconsento al trattamento dei miei dati personali
defval_2828208447,full time 5 giorni a settimana
defval_2843740463,telelavoro
defval_3041462642,orario libero
defval_2852129068,tra 50 euro e 150 euro
defval_2910521545,da 300 m a 500 m
defval_3198224851,da 1 km a 2 km
defval_2836072909,"0"
defval_2928478684,"1"
defval_2859665654,bicicletta tradizionale
defval_3017804242,bicicletta elettrica
defval_3062106635,turni
defval_2740586726,auto privata come conducente insieme a dei colleghi
defval_3082881373,auto privata come passeggero insieme a dei colleghi
defval_2747468073,"motocicletta, ciclomotore, scooter"
defval_2928282035,bicicletta/monopattino
defval_2655127744,donna
defval_2824276230,rigido
defval_2582776043,a piedi
defval_2620393559,treno
defval_3195800090,tram
defval_2871527726,metropolitana
defval_2897021149,"autobus urbano, filobus"
defval_2815691102,da 40 a 60 euro
defval_3016624540,da 60 a 80 euro
defval_2789411087,meno di 20 anni
defval_2866284897,fra 31 e 40 anni
defval_3028486648,fra 41 e 50 anni
defval_2917665142,fra 51 e 60 anni
defval_2606893180,assunto a tempo determinato
defval_2854291826,part time verticale
defval_3082488230,part time orizzontale
defval_2991589795,Preferisco non rispondere
defval_3041855966,fra 21 e 30 anni
defval_3079145944,assunto a tempo indeterminato
defval_3029666260,apprendista/in formazione
defval_2859600182,stagista
defval_3263564331,Quadro/dirigente
defval_2735343828,"motocicletta, ciclomotore, scooter"
defval_2886076729,mancanza di alternative valide
defval_2706835748,da 200 m a 300 m
defval_2884634987,monopattino
defval_2585397389,più di 60 anni
defval_3021277697,economicità
defval_3094350249,difficoltà del parcheggio
defval_3262581301,sicurezza
defval_2788559188,alternativa meno stressante
defval_3071674928,salute
defval_3120368131,tempo di viaggio
defval_2819492121,Più di 750 cm^3
defval_2915895804,da 200 m a 300 m
defval_2875722149,full time 6 giorni a settimana
defval_3011185159,rispetto dell?ambiente
defval_2956528095,attività extralavorative
defval_3031370254,mezz?ora
defval_2767587648,un?ora
defval_3050375597,due ore o più
defval_2916682019,"corriera, autobus extra-urbano"
defval_3025930820,bicicletta/monopattino
defval_2772830395,motociclo elettrico
defval_2799241688,meno di 20 euro
defval_2970880413,da 20 a 40 euro
defval_3017542104,puntualità
defval_3135638055,auto a benzina
defval_2926381423,auto diesel
defval_2640382124,euro 2
defval_3022063950,euro 3
defval_3047426535,"sì, se fossero erogati dei buoni carburante dall?azienda agli equipaggi di car pooling"
defval_2941651272,auto privata/auto aziendale
defval_3074230750,comfort
defval_2583431317,accompagnamento di persone
defval_2880178479,abbonamento bike sharing
defval_2773420350,abbonamento car sharing
defval_2585004239,abbonamento scooter sharing
defval_2891450784,abbonamento monopattino sharing
defval_2964326826,abbonamento parcheggio
defval_2997029226,niente
defval_2694056127,più di 100 euro
defval_2826701029,in bicicletta
defval_3000961522,in motociclo
defval_2729707751,vicinanza alle fermate
defval_2739275966,tariffe
defval_2607417437,motociclo a benzina
defval_2683504891,servizio pubblico non efficiente
defval_2925267285,tra 150 euro e 250 euro
defval_3077048803,più di 450 euro
defval_2765097197,da 2 km a 5 km
defval_2857765198,"informazione (orari, percorsi, etc)"
defval_2869430651,adeguatezza del percorso
defval_2948204819,adeguatezza degli orari
defval_2965244242,euro 6
defval_2750744810,non so
defval_2856782057,mancanza di percorsi ciclabili
defval_2908293440,abbonamento trasporto pubblico locale
defval_3119450626,"2"
defval_2998798872,Meno di 250 cm^3
defval_2764769580,Da 250 cm^3 a 750 cm^3
defval_2932935032,Più di 750 cm^3
defval_481690683,Agesoft Srl 
defval_3030911376,tra 250 euro e 350 euro
defval_3084978593,più di 5 km
defval_2761165127,"informazione (orari, linee, etc)"
defval_2999519664,"Medium (da 1,4 a 2,0 litri. Se Diesel 1700 - 2000 cc) "
defval_2977696106,"Large, SUV o Executive (>2,0 litri / > 2000 cc )  "
defval_3086682620,non so
defval_2783643925,"sì, in presenza di mezzi aziendali di collegamento con le principali fermate del trasporto pubblico"
defval_2719615255,"sì, se l?azienda mi fornisse la bicicletta elettrica"
defval_2920810780,tra 350 euro e 450 euro
defval_3176204711,da 500 m a 1 km
defval_3312585231,in auto come conducente
defval_3014003175,più di 2
defval_3078097371,sì
defval_3114600892,no
defval_2865695120,non sono a conoscenza di questo servizio
defval_2812479648,auto elettrica
defval_3006728683,auto a metano
defval_3086092765,auto ibrida
defval_3050899890,non so
defval_2975664550,meno di 100 m
defval_2880309538,da 100 m a 200 m
defval_2895448473,in auto come passeggero
defval_2809268541,"sì, in presenza di un sistema che mi mettesse in contatto con chi fa il mio stesso percorso nelle stesse ore"
defval_476251174,Gamenet Spa 
defval_2816870728,"no, mai"
defval_2644969732,"sì, se fossero costantemente igienizzati e forniti di disinfettante"
defval_2699954316,"Piccola (<1,4 litri. Se Diesel < 1700 cc)"
defval_2992441807,non so
defval_2722761027,"sì, se il tempo di spostamento non fosse superiore di 5 o 10 minuti rispetto a quello attuale"
defval_3162704442,"sì, se potessi prenotare il mezzo in anticipo"
defval_816055712,Corso Master 
defval_2929461569,auto gpl
defval_2792884517,euro 0
defval_2969438611,parcheggio esterno alla sede a pagamento
defval_2837449126,sulla strada
defval_2956790199,"sì, se le fermate del trasporto pubblico fossero più vicine alla sede di lavoro"
defval_3131574768,no
defval_2850490734,"sì, se i marciapiedi e i percorsi pedonali fossero più curati"
defval_2947484163,"sì, se le strade fossero maggiormente illuminate"
defval_2825652472,"no, mai"
defval_3092711817,"sì, se fossero costantemente igienizzati e forniti di disinfettante"
defval_2877163756,"sì, se potessi usufruire di scontistiche"
defval_3478588059,nessuno
defval_3148548618,euro 4
defval_2850687196,euro 5
defval_2553088123,"sì, in presenza di parcheggi di scambio lungo il percorso"
defval_2998733250,"sì, se fossero disponibili spogliatoi e docce"
defval_2955348240,bike sharing
defval_2969373049,bici
defval_2911701469,trasporto pubblico locale
defval_2877163854,euro 1
defval_3077900747,parcheggio esterno alla sede gratuito
defval_2996308302,"sì, se fosse fornito l?abbonamento dall?azienda"
defval_2821130470,"sì, se dovessi pagare la sosta della mia auto"
defval_3338340955,"sì, se fossero disponibili spazi di sosta riservati agli equipaggi car pooling"
defval_3034909045,"sì, se ci fossero piste ciclabili migliori e più sicure"
defval_2903116145,"sì, se potessi rateizzare il costo in busta paga"
defval_2938177860,parcheggio multipiano o custodito in convenzione
defval_2624325885,più di 60 euro
defval_3091794341,"sì, se ci fosse maggiore affidabilità del trasporto pubblico (es. rispetto degli orari e delle corse)"
defval_2752514314,"sì, se potessi rateizzare il costo in busta paga"
defval_2873624862,non sono disposto ad utilizzare un'app di gamification
defval_2734491907,uomo
defval_2989034236,Lottomatica Videolot Rete Spa
defval_2873755934,Quadro/dirigente      
defval_2725775644,bicicletta/monopattino
defval_4092534457,eccessiva distanza della stazione/fermata dei mezzi pubblici dalla mia abitazione
defval_2940799341,alternativa meno stressante e comfort
defval_3206875692,monopattino sharing
defval_1065092860,AB Games ristorante
defval_2908031315,monopattino sharing
defval_781256154,Giocaonline srl
defval_2996373848,abbonamento trasporto pubblico locale
defval_2697529539,abbonamento car sharing
defval_3067546033,car sharing
defval_104595985,donna
defval_593233056,Gbo Italy Spa 
defval_3080653206,part time 
defval_3098937809,car sharing
defval_2555643992,scooter sharing
defval_3055552980,piedi
defval_243008229,Big Easy 
defval_590349507,Gnetwork Srl 
defval_900662758,Lottomatica Spa 
defval_667092289,Kristal Palace
defval_1580664916,Il galletto fortunato 
defval_634717508,Macao Phygital
defval_756811083,Dea Bendata Srl 
defval_2707949725,abbonamento monopattino sharing
defval_3128625781,"sì, se potessi prenotare il mezzo in anticipo"
defval_2945452442,bike sharing
defval_2697726189,bicicletta elettrica/monopattino
defval_338428808,Marim srl 
defval_102891969,Master full time SDA
defval_2558003261,nessuno dei precedenti
defval_2743208230,nessuno
defval_3361215032,"sì, se potessi rateizzare il costo in busta paga"
defval_2674460898,scooter sharing
defval_2704410855,trasporto pubblico
defval_VAUTOBRIDA,auto ibrida plug-in
defval_3074689560,donna
defval_373228423,Ares s.r.l.
defval_175899318,Betflag
defval_1309280034,Billions Italia Srl 
defval_3634105537,Lottomatica Digital Solutions srl
defval_1647183891,Lottomatica Group Spa 
defval_1690833032,Master Executive SDA
defval_2017527970,Battistini Andrea  s.r.l.
defval_555025633,Bingo Service
defval_63111576,Iris
defval_2547517536,Impiegato
defval_2865629515,full time 
defval_VBIKE1,bicicletta/monopattino
defval_3055225357,abbonamento parcheggio
defval_3124890024,"sì, se fosse fornito l'abbonamento in parte (50%) dall?azienda"
defval_2931427669,"sì, se potessi usufruire di scontistiche"
defval_514786389,sopra euro 4
defval_3001682381,abbonamento bike sharing
defval_3149007427,abbonamento scooter sharing
defval_2764572939,euro 4
defval_2913012063,uomo
defval_2926512562,donna
defval_2820737423,Preferisco non rispondere
defval_2816215459,meno di 20 anni
defval_2933197306,fra 21 e 30 anni
defval_2900822410,fra 31 e 40 anni
defval_2761361636,fra 41 e 50 anni
defval_3046050316,mezz?ora
defval_2841708934,sicurezza
defval_2960984478,alternativa meno stressante
defval_2808875237,nessuno dei precedenti
defval_3004107160,"informazione (orari, linee, etc)"
defval_3003451868,vicinanza alle fermate
defval_2734688487,tariffe
defval_3130198532,non sono a conoscenza di questo servizio
defval_3004303654,fra 51 e 60 anni
defval_2919631262,più di 60 anni
defval_2855995680,assunto a tempo determinato
defval_3095464445,rigido
defval_3151563230,Quadro/dirigente
defval_2760640793,Impiegato
defval_2809530750,stagista
defval_2989558159,full time 5 giorni a settimana
defval_2939095514,un?ora
defval_2820868367,auto privata come conducente insieme a dei colleghi
defval_3162770006,a piedi
defval_2884504030,difficoltà del parcheggio
defval_2874018059,mancanza di percorsi ciclabili
defval_2862876941,niente
defval_2743470432,assunto a tempo indeterminato
defval_2818050367,apprendista/in formazione
defval_2947877252,full time 6 giorni a settimana
defval_2902198546,part time verticale
defval_2817460434,part time orizzontale
defval_2768374088,turni
defval_2874411338,telelavoro
defval_2959477197,orario libero
defval_3029469517,auto privata come passeggero insieme a dei colleghi
defval_2625964259,"motocicletta, ciclomotore, scooter"
defval_2832861412,bicicletta/monopattino
defval_3040872891,"autobus urbano, filobus"
defval_2888698183,due ore o più
defval_3226601976,treno
defval_3100183020,tram
defval_2911570325,attività extralavorative
defval_3101428156,"1"
defval_3038841294,"2"
defval_2798651704,più di 2
defval_2646542510,parcheggio esterno alla sede gratuito
defval_2884241727,"corriera, autobus extra-urbano"
defval_3070036586,auto privata
defval_3157854742,"motocicletta, ciclomotore, scooter"
defval_3279817345,abbonamento trasporto pubblico locale
defval_2987198904,abbonamento bike sharing
defval_3099789808,abbonamento car sharing
defval_3223652870,abbonamento scooter sharing
defval_2971208116,abbonamento monopattino sharing
defval_3315862066,abbonamento parcheggio
defval_2809071859,motociclo a benzina
defval_2821851461,motociclo elettrico
defval_2829126083,bicicletta tradizionale
defval_3174500881,nessuno
defval_2979531088,auto ibrida
defval_2880113062,bicicletta/monopattino
defval_3037333945,tra 50 euro e 150 euro
defval_3063286196,tra 150 euro e 250 euro
defval_2828863943,tra 250 euro e 350 euro
defval_2519533625,tra 350 euro e 450 euro
defval_2791704870,più di 450 euro
defval_2688092327,non so
defval_2895055307,da 500 m a 1 km
defval_2643986554,da 1 km a 2 km
defval_2822310145,da 2 km a 5 km
defval_3374844568,più di 5 km
defval_3048278495,metropolitana
defval_2773485881,salute
defval_2650212622,tempo di viaggio
defval_2975205815,comfort
defval_2791442816,accompagnamento di persone
defval_3051162198,autonomia di movimento
defval_2689337493,mancanza di alternative valide
defval_3086485936,servizio pubblico non efficiente
defval_2875525378,rispetto dell?ambiente
defval_2767194349,meno di 100 m
defval_2833189195,da 100 m a 200 m
defval_2704672955,uno o più mezzi pubblici
defval_2693400716,combinazione di mezzi pubblici e privati
defval_2730690660,economicità
defval_2710571237,"0"
defval_2649295095,"informazione (orari, percorsi, etc)"
defval_2699430161,adeguatezza del percorso
defval_2945780198,adeguatezza degli orari
defval_2761820427,auto elettrica
defval_2715551976,auto a benzina
defval_3136883276,auto privata/auto aziendale
defval_2798586197,più di 100 euro
defval_2804550010,da 300 m a 500 m
defval_2801404144,auto a metano
defval_2720336078,euro 0
defval_2862156165,non so
defval_2692942074,"sì, se le fermate del trasporto pubblico fossero più vicine alla sede di lavoro"
defval_2957511123,"sì, se l?azienda mi fornisse la bicicletta elettrica"
defval_3255765599,"no, mai"
defval_3131312546,in bicicletta
defval_3012954485,in motociclo
defval_2829584621,in auto come conducente
defval_2718763235,in auto come passeggero
defval_2834893178,no
defval_3214019122,auto
defval_3045788116,"Large, SUV o Executive (>2,0 litri / > 2000 cc )  "
defval_2929134050,meno di 20 euro
defval_3169127009,da 20 a 40 euro
defval_2794588440,da 40 a 60 euro
defval_2731936031,da 60 a 80 euro
defval_2873821489,da 80 a 100 euro
defval_2822048088,puntualità
defval_3011643864,auto gpl
defval_2567833733,euro 1
defval_3035630040,euro 2
defval_2979858919,euro 3
defval_3167554061,euro 4
defval_3001158077,"sì, se le strade fossero maggiormente illuminate"
defval_3075344809,"sì, se fosse fornito l?abbonamento dall?azienda"
defval_2848196816,"sì, in presenza di parcheggi di scambio lungo il percorso"
defval_3015051798,donna
defval_2544175211,sì
defval_2820409592,parcheggio esterno alla sede a pagamento
defval_2831354142,sulla strada
defval_2923432402,"sì, se ci fosse maggiore affidabilità del trasporto pubblico (es. rispetto degli orari e delle corse)"
defval_2911045982,uomo
defval_3175615006,Preferisco non rispondere
defval_2739472711,meno di 20 anni
defval_2999323102,Meno di 250 cm^3
defval_2820868341,Da 250 cm^3 a 750 cm^3
defval_3208710658,parcheggio multipiano o custodito in convenzione
defval_2891778383,più di 60 euro
defval_3210873365,"sì, in presenza di mezzi aziendali di collegamento con le principali fermate del trasporto pubblico"
defval_2582907051,"sì, in presenza di un sistema che mi mettesse in contatto con chi fa il mio stesso percorso nelle stesse ore"
defval_2764835062,"sì, se dovessi pagare la sosta della mia auto"
defval_2880244093,"sì, se fossero disponibili spazi di sosta riservati agli equipaggi car pooling"
defval_2937719131,auto diesel
defval_3061844510,"Piccola (<1,4 litri. Se Diesel < 1700 cc)"
defval_2739013865,"Medium (da 1,4 a 2,0 litri. Se Diesel 1700 - 2000 cc) "
defval_2920614158,non so
defval_2399799300,auto privata/auto aziendale
defval_255001426,standard
defval_2795964683,"sì, se potessi usufruire di scontistiche"
defval_2721712303,non so
defval_3224111713,"sì, se potessi prenotare il mezzo in anticipo"
defval_2825849189,bike sharing
defval_2881161543,da 1 km a 2 km
defval_202507017,monitor
defval_2880571661,"sì, se ci fossero piste ciclabili migliori e più sicure"
defval_2926905726,"sì, se fossero disponibili spogliatoi e docce"
defval_3024030179,no
defval_2548435089,"sì, se i marciapiedi e i percorsi pedonali fossero più curati"
defval_2827946338,"sì, se fossero costantemente igienizzati e forniti di disinfettante"
defval_3074820571,monopattino sharing
defval_3605665626,"Elettricità autoprodotta (ad esempio, pannelli fotovoltaici)"
defval_2940471726,"sì, se fossero erogati dei buoni carburante dall?azienda agli equipaggi di car pooling"
defval_2660436144,scooter sharing
defval_2816674081,car sharing
defval_1322649409,auto ibrida plug- in
defval_203424517,printer
defval_504108064, Contratto rinnovabile (acquisti energia rinnovabile)
defval_3177056826,"sì, se il tempo di spostamento non fosse superiore di 5 o 10 minuti rispetto a quello attuale"
defval_3076196728,"sì, se potessi rateizzare il costo in busta paga"
defval_2710178120,bicicletta elettrica/monopattino
defval_2694383856,piedi
defval_2633107621,bici
defval_3113421185,trasporto pubblico locale
defval_2856847732,non sono disposto ad utilizzare un'app di gamification
defval_3085830646,"Dichiaro di aver ricevuto, letto e compreso l?informativa sul trattamento dei dati personali di cui sopra"
defval_148701841,laptop
defval_2960918848,auto privata
defval_2800290036,auto aziendale
defval_2980907333,Dichiaro di aver letto l?informativa sulla privacy e acconsento al trattamento dei miei dati personali
defval_2882537838,fra 31 e 40 anni
defval_3082750384,Impiegato
defval_2824407433,assunto a tempo indeterminato
defval_2940864838,più di 2
defval_3005286782,bicicletta elettrica
defval_2617968812,auto a benzina
defval_3057584681,auto diesel
defval_2684881112,parcheggio esterno alla sede gratuito
defval_3106802300,fra 21 e 30 anni
defval_2997356923,part time verticale
defval_3088386475,mezz?ora
defval_3021081138,auto privata come conducente insieme a dei colleghi
defval_2832992598,tram
