"textid","description"
defval_2787838200,abbonamento parcheggio
defval_2718566655,nessuno dei precedenti
defval_2799634773,auto elettriche
defval_2778073309,auto tradizionali
defval_3145140682,biciclette elettriche
defval_2873952539,tra 50 euro e 150 euro
defval_3165522485,tra 150 euro e 250 euro
defval_3187739096,tra 250 euro e 350 euro
defval_2777942347,tra 350 euro e 450 euro
defval_2707753188,più di 450 euro
defval_2927430076,non so
defval_2884962669,meno di 100 m
defval_2705590465,da 100 m a 200 m
defval_2963868076,da 200 m a 300 m
defval_3035826588,da 300 m a 500 m
defval_2712799610,da 500 m a 1 km
defval_2962033060,da 1 km a 2 km
defval_2935753065,da 2 km a 5 km
defval_2886732211,più di 5 km
defval_3068660154,in bicicletta
defval_2751203645,in motociclo
defval_3163163144,in auto come conducente
defval_2950564272,in auto come passeggero
defval_2863204613,"0"
defval_2915109258,più di 2
defval_2919106856,puntualità
defval_3198814760,"informazione (orari, linee, etc)"
defval_2987919786,vicinanza alle fermate
defval_2907310439,tariffe
defval_3186100852,non sono a conoscenza di questo servizio
defval_2760575173,"informazione (orari, percorsi, etc)"
defval_2967734571,adeguatezza del percorso
defval_2881292678,adeguatezza degli orari
defval_3074755030,auto
defval_2740455798,motociclo a benzina
defval_3006597589,motociclo elettrico
defval_2602567863,bicicletta tradizionale
defval_2997488040,bicicletta elettrica
defval_3113814486,nessuno
defval_2863663497,auto elettrica
defval_2947942737,auto a benzina
defval_2739669211,auto diesel
defval_3196258921,auto gpl
defval_3000175088,auto a metano
defval_2876901749,auto ibrida
defval_2807302512,euro 0
defval_2835417482,euro 1
defval_2630420659,euro 2
defval_2938308977,euro 3
defval_3066497450,euro 4
defval_2843806081,euro 5
defval_2928413016,euro 6
defval_2984118695,tariffe
defval_2864974103,parcheggio multipiano o custodito in convenzione
defval_2611218670,parcheggio esterno alla sede gratuito
defval_3062696412,parcheggio esterno alla sede a pagamento
defval_2844264707,sulla strada
defval_2807105862,più di 60 euro
defval_2922514670,non so
defval_2655586429,"sì, se fossero disponibili spogliatoi e docce"
defval_3175484007,"sì, se fosse fornito l?abbonamento dall?azienda"
defval_2687240409,"sì, in presenza di parcheggi di scambio lungo il percorso"
defval_2945976535,"sì, in presenza di mezzi aziendali di collegamento con le principali fermate del trasporto pubblico"
defval_3037333840,"sì, se le fermate del trasporto pubblico fossero più vicine alla sede di lavoro"
defval_2831681823,"sì, se ci fosse maggiore affidabilità del trasporto pubblico (es. rispetto degli orari e delle corse)"
defval_2787313945,"sì, se durante le ore di lavoro potessi usufruire di mezzi aziendali per eventuali spostamenti"
defval_2920941942,"sì, in presenza di un sistema che mi mettesse in contatto con chi fa il mio stesso percorso nelle stesse ore"
defval_3198880231,"sì, se dovessi pagare la sosta della mia auto"
defval_2940275106,"sì, se fossero disponibili spazi di sosta riservati agli equipaggi car pooling"
defval_2837842133,"sì, se il tempo di spostamento non fosse superiore di 5 o 10 minuti rispetto a quello attuale"
defval_3037858228,"sì, se fossero erogati dei buoni carburante dall?azienda agli equipaggi di car pooling"
defval_2848721145,"sì, se l?azienda mi fornisse la bicicletta elettrica"
defval_2914781621,"sì, se ci fossero piste ciclabili migliori e più sicure"
defval_2572748965,"sì, se fossero disponibili spogliatoi e docce"
defval_2684684490,"sì, se la fermata fosse abbastanza vicina a casa"
defval_2533296233,"sì, se costasse più o meno quanto spendo oggi per andare a lavoro"
defval_2541488249,no
defval_2523072555,"sì, se i marciapiedi e i percorsi pedonali fossero più curati"
defval_2853833148,"sì, se le strade fossero maggiormente illuminate"
defval_2951547358,no
defval_2991262221,"sì, se l'azienda mi fornisse un incentivo per l'acquisto"
defval_3154315738,"sì, se ci fossero strade protette sicure"
defval_3122203219,"sì, se durante le ore di lavoro potessi usufruire di mezzi aziendali per eventuali spostamenti"
defval_2719156525,"no, mai"
defval_2874018179,"sì, se fossero costantemente igienizzati e forniti di disinfettante"
defval_2827290981,"sì, se potessi usufruire di scontistiche"
defval_2855536943,"sì, se potessi rateizzare il costo in busta paga"
defval_2768570708,"sì, se potessi prenotare il mezzo in anticipo"
defval_2980317520,bike sharing
defval_2895972530,monopattino sharing
defval_2668890240,scooter sharing
defval_2800093599,car sharing
defval_2842954076,non sono disposto ad utilizzare servizi di sharing mobility 
defval_2971077130,non posseggo un?automobile
defval_2577991884,"no, mi sento sicuro solo con il mezzo privato"
defval_2497906734,"sì, utilizzerei il trasporto pubblico al posto del mezzo privato se fossero facilmente disponibili i dispositivi di protezione, se fossero prenotabili le corse e correttamente sanificati"
defval_2924349871,"sì, utilizzerei la biciletta o il monopattino al posto del mezzo privato"
defval_2811758823,"sì, utilizzerei un servizio di sharing mobility al posto del mezzo privato"
defval_1294667482,Smart working/Lavoro in sede 2 giorni su 5
defval_1296174815,Smart working/Lavoro in sede 1 giorno su 5
defval_3210086945,piedi
defval_3108440545,bici
defval_3065055703,trasporto pubblico locale
defval_2740455648,non sono disposto ad utilizzare un'app di gamification
defval_2400520582,Lavoro in sede 5 giorni su 5
defval_2335639939,Smart working 5 giorni su 5
defval_1296371420,Smart working/Lavoro in sede 4 giorni su 5
defval_1295519451,Smart working/Lavoro in sede 3 giorni su 5
defval_72352183,taxi
defval_710411674,mezzi pubblici
defval_2967013909,non sono a conoscenza di questo servizio
defval_2930182435,Dichiaro di aver letto l?informativa sulla privacy e acconsento al trattamento dei miei dati personali
defval_3053717896,I
defval_3141667349,II
defval_2871724405,lavoratore in somministrazione
defval_2993949029,tra 151 euro e 250 euro
defval_2858682710,tra 251 euro e 350 euro
defval_2689140963,tra 351 euro e 450 euro
defval_2663057552,più di 451 euro
defval_100925945,"3 sedi"
defval_2921269563,III
defval_3157658212,IV
defval_2895448328,V
defval_2624653471,A
defval_2664040629,B
defval_3310422678,C
defval_2831943870,D
defval_2874280257,E
defval_2994014727,F
defval_3242592714,G
defval_2882800136,H
defval_2653555115,L
defval_3110406725,M
defval_3021736295,N
defval_3002861998,O
defval_2936736211,auto
defval_3321170623,scooter/moto
defval_2911373699,a piedi
defval_2920745238,bus scolastico
defval_3088189819,uno o più mezzi pubblici
defval_2941323650,combinazione di mezzi pubblici e privati
defval_2653030684,treno
defval_3097299373,tram
defval_2791180584,metropolitana
defval_2950433270,"autobus urbano, filobus"
defval_2820278461,"corriera, autobus extra-urbano"
defval_2856847763,puntualità
defval_2939816186,nessuno
defval_3037596129,lunedì
defval_3045263785,martedì
defval_2714437925,mercoledì
defval_2954299834,giovedì
defval_2952857988,venerdì
defval_2625898645,sabato
defval_3062041099,comfort
defval_3309963888,no
defval_3137669543,"sì, ma lui prosegue per un?altra destinazione"
defval_2711357782,"sì, anche lui ha come destinazione finale la mia scuola"
defval_3067742577,"sì, se ci fosse maggiore affidabilità del trasporto pubblico (es. rispetto degli orari e delle corse)"
defval_2850949456,"sì, se i tempi di viaggio fossero minori"
defval_2844264736,"sì, se le fermate fossero più vicine a scuola"
defval_2844330362,"sì, se l?acquisto del biglietto o dell?abbonamento mi permettesse di usufruire di sconti o convenzioni particolari"
defval_2682128575,tempo di viaggio
defval_3000371587,"informazione (orari, linee, etc)"
defval_2822768983,vicinanza alle fermate
defval_2806253825,adeguatezza delle tariffe
defval_2590443607,la sicurezza degli attraversamenti pedonali
defval_2959870437,la sicurezza dei percorsi ciclabili
defval_3067808222,l?adeguatezza della segnaletica stradale
defval_2933655891,il tempo di viaggio impiegato
defval_2802977069,"0"
defval_2682128625,"1"
defval_2926119283,"2"
defval_3103000991,"3"
defval_2811496685,più di 3
defval_2844395828,scooter/microcar
defval_2996504944,altro
defval_2870085965,meno di 13
defval_2736589130,"13"
defval_3037596184,"14"
defval_2835613933,"15"
defval_2842757494,"16"
defval_2902657239,"17"
defval_2989623736,"18"
defval_2781874462,"19"
defval_3220244950,"20"
defval_3055159773,più di 20
defval_3082291711,come passeggero
defval_3124234649,come conducente
defval_2864318792,in un?area all?interno della scuola
defval_2781546732,in strada nei pressi della scuola
defval_3002468790,lontano dalla scuola
defval_3224177165,"sì, se ci fossero parcheggi riparati e sicuri"
